"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"95",95,"END","00095gFsCV","kasfEdluiOnbm","standard","RR",0,"male","opaque","2018-08-17 15:37:14","2018-08-17 16:22:49",33,"f",5,4,5
"96",96,"R_TR11","","dEkilafnuOsmb","standard","RR",0,"male","opaque","2018-08-17 16:49:13","0000-00-00 00:00:00",48,"f",5,0,0
"97",97,"END","00097OFsMv","maiuskndbfOlE","standard","RR",0,"male","opaque","2018-08-17 16:53:44","2018-08-17 17:58:03",24,"f",5,4,5
"98",98,"END","00098kDVCh","OunaflEmsikbd","standard","RR",0,"male","opaque","2018-08-17 17:37:28","2018-08-17 18:29:07",48,"f",5,4,5
"99",99,"END","00099xuOHB","dulbfamnOskEi","standard","RR",0,"male","opaque","2018-08-17 17:44:07","2018-08-17 18:11:23",27,"m",5,4,5
"100",100,"END","00100PuSwB","udaOmkiEsbfln","standard","RR",0,"male","opaque","2018-08-17 17:44:43","2018-08-17 18:18:49",14,"m",5,5,5
"101",101,"END","00101wiDjd","kOismnfadlEub","dialect","RR",1,"male","transparent","2018-08-17 17:50:41","2018-08-17 20:31:01",34,"m",5,4,4
"102",102,"END","00102IOFWu","dkOnlfsiEumba","dialect","RR",1,"female","opaque","2018-08-20 13:07:46","2018-08-20 14:02:46",31,"f",5,4,4
"103",103,"R_TR11","","ElunmafkidbsO","dialect","RR",1,"female","opaque","2018-08-20 13:10:31","0000-00-00 00:00:00",35,"f",5,0,0
"104",104,"END","00104iycxI","ikEsunblOadfm","dialect","RR",1,"female","opaque","2018-08-20 13:13:24","2018-08-20 14:18:01",37,"f",5,5,5
"105",105,"END","00105ayCcp","mfbiOskEaduln","dialect","RR",1,"female","opaque","2018-08-20 13:14:48","2018-08-20 13:37:39",25,"m",4,4,4
"106",106,"END","00106ahctv","dmOasikfbEnul","dialect","RR",1,"female","opaque","2018-08-20 13:15:31","2018-08-20 13:59:13",32,"f",5,4,5
"107",107,"R_TR12","","biuslfOknEmad","dialect","RR",1,"female","opaque","2018-08-20 13:16:44","0000-00-00 00:00:00",20,"f",5,0,0
"108",108,"END","00108aZoQK","smEfbniOalukd","dialect","RR",1,"female","opaque","2018-08-20 13:27:51","2018-08-20 13:59:28",29,"f",5,4,5
"109",109,"R_TR12","","ablsuEidnmOfk","dialect","RR",1,"female","opaque","2018-08-20 13:36:47","0000-00-00 00:00:00",28,"f",5,0,0
"110",110,"START","","naksbfOlEmdui","dialect","RR",1,"female","opaque","2018-08-20 13:40:08","0000-00-00 00:00:00",0,"",0,0,0
"111",111,"END","00111eQwGh","EkmsdiblufnaO","dialect","RR",1,"female","opaque","2018-08-20 13:41:06","2018-08-20 15:41:34",26,"f",5,1,5
"112",112,"END","00112crmQX","OdnufaklibEms","dialect","RR",1,"female","opaque","2018-08-20 13:41:34","2018-08-20 14:24:05",46,"f",5,5,5
"113",113,"END","00113veNca","OnamikfdElbsu","dialect","RR",1,"female","opaque","2018-08-20 13:43:19","2018-08-20 14:17:52",31,"f",5,4,5
"114",114,"END","00114DlWYV","udfaOkminbsEl","dialect","RR",1,"female","opaque","2018-08-20 13:52:27","2018-08-20 14:22:16",46,"f",5,4,4
"115",115,"START","","ldsnEmakfiOub","dialect","RR",1,"female","opaque","2018-08-20 13:53:53","0000-00-00 00:00:00",0,"",0,0,0
"116",116,"END","00116KWyvb","kasfnbiOudlEm","dialect","RR",1,"female","opaque","2018-08-20 13:54:27","2018-08-20 14:44:54",29,"m",5,3,5
"117",117,"END","00117BMNTX","mfObkainEusld","dialect","RR",1,"female","opaque","2018-08-20 13:55:06","2018-08-20 14:25:56",38,"f",5,4,4
"118",118,"R_TR11","","dlfiEbOaunmsk","dialect","RR",1,"female","opaque","2018-08-20 14:13:56","0000-00-00 00:00:00",27,"m",5,0,0
"119",119,"END","00119UkVoC","umidklEOnafsb","dialect","RR",1,"female","opaque","2018-08-20 14:25:45","2018-08-20 15:07:01",32,"f",2,4,5
"120",120,"SCRIPT","","adsuknbEimOfl","dialect","RR",1,"female","opaque","2018-08-20 14:32:41","0000-00-00 00:00:00",38,"m",5,0,0
"121",121,"R_TR11","","dfObaEmiuksln","dialect","RR",1,"female","opaque","2018-08-20 14:47:03","0000-00-00 00:00:00",24,"f",5,0,0
"122",122,"END","00122dSyhr","bufOialkmnEsd","dialect","RR",1,"female","opaque","2018-08-20 15:09:43","2018-08-20 15:54:03",39,"f",4,4,4
"123",123,"START","","kmdlEiufnbaOs","dialect","RR",0,"female","opaque","2018-08-20 15:12:26","0000-00-00 00:00:00",0,"",0,0,0
"124",124,"R_TR12","","ksaimEOfdnbul","dialect","RR",1,"female","opaque","2018-08-20 17:49:45","0000-00-00 00:00:00",28,"m",5,0,0
"125",125,"END","00125qXkEf","dibmEulOfsnak","dialect","RR",1,"female","opaque","2018-08-20 18:05:52","2018-08-20 18:35:19",33,"f",5,3,5
"126",126,"END","00126KDGpV","nbmidlkafsOuE","standard","RR",1,"female","opaque","2018-08-21 15:13:08","2018-08-21 15:48:19",24,"f",1,4,5
"127",127,"END","00127pEAwD","kaulbsmEnOfdi","standard","RR",1,"female","opaque","2018-08-21 15:20:57","2018-08-21 15:48:58",26,"f",5,5,3
"128",128,"END","00128WnpGJ","nuOslaikmfbdE","standard","RR",1,"female","opaque","2018-08-21 15:33:59","2018-08-21 16:40:39",27,"m",5,5,5
"129",129,"R_TR11","","snOkaldumfbEi","standard","RR",1,"female","opaque","2018-08-21 15:35:58","0000-00-00 00:00:00",28,"f",5,0,0
"130",130,"END","00130AsKiP","akflunbOdEmis","standard","RR",1,"female","opaque","2018-08-21 15:37:15","2018-08-21 17:27:41",26,"m",5,1,5
"131",131,"END","00131PlOew","liufskmandEbO","standard","RR",1,"female","opaque","2018-08-21 15:37:58","2018-08-21 16:09:40",24,"f",5,4,5
"132",132,"END","00132lJZUz","iskfaOlEbmund","standard","RR",1,"female","opaque","2018-08-21 15:38:16","2018-08-21 16:07:05",40,"f",5,3,4
"133",133,"END","00133GlXpP","nbEOdlkumaifs","standard","RR",1,"female","opaque","2018-08-21 15:46:35","2018-08-21 16:29:29",30,"f",4,3,4
"134",134,"END","00134hnTyA","knsObiaEflumd","standard","RR",1,"female","opaque","2018-08-21 16:02:00","2018-08-21 16:35:22",41,"m",5,4,5
"135",135,"END","00135GichC","mkEuansOfidlb","standard","RR",1,"female","opaque","2018-08-21 16:02:15","2018-08-21 17:02:00",34,"f",4,4,4
"136",136,"END","00136jhLmU","OfbakdulinsmE","standard","RR",1,"female","opaque","2018-08-21 16:09:05","2018-08-21 17:00:18",46,"f",5,5,5
"137",137,"END","00137BCHvM","mslndbikOaEfu","standard","RR",1,"female","opaque","2018-08-21 16:09:59","2018-08-21 17:02:34",25,"m",5,4,5
"138",138,"START","","bOsdEfmliknua","standard","RR",0,"female","transparent","2018-08-21 17:00:28","0000-00-00 00:00:00",0,"",0,0,0
"139",139,"SCRIPT","","lkbisnaEmOduf","standard","RR",1,"female","opaque","2018-08-21 17:01:26","0000-00-00 00:00:00",29,"m",5,0,0
"140",140,"INSTR_R_TR11","","lfmkbOnisEdau","standard","RR",1,"female","opaque","2018-08-21 17:15:00","0000-00-00 00:00:00",35,"f",5,0,0
"141",141,"END","00141saNIM","OsbndilakmufE","standard","RR",1,"female","opaque","2018-08-21 17:24:23","2018-08-21 18:03:51",21,"f",5,5,5
"142",142,"R_TR11","","snbOEulfmadki","standard","RR",1,"female","opaque","2018-08-21 17:24:26","0000-00-00 00:00:00",26,"m",5,0,0
"143",143,"START","","kibuEsmlnOfad","dialect","RR",0,"female","transparent","2018-08-21 17:32:11","0000-00-00 00:00:00",0,"",0,0,0
"144",144,"SCRIPT","","knbudifEOsalm","standard","RR",1,"female","opaque","2018-08-21 17:44:59","0000-00-00 00:00:00",19,"f",5,0,0
"145",145,"END","00145ZapgE","lafEOnkbuisdm","standard","RR",1,"female","opaque","2018-08-21 17:53:30","2018-08-21 18:29:27",27,"m",5,4,5
"146",146,"END","00146HQGMZ","fkibEOldmunas","standard","RR",1,"female","opaque","2018-08-21 18:17:21","2018-08-21 18:43:17",39,"f",5,3,4
"147",147,"START","","nambdOEuklsfi","standard","RR",1,"female","opaque","2018-08-21 22:53:10","0000-00-00 00:00:00",0,"",0,0,0
