participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
106,dialect,opaque,picture,RR,female,32,f,Uzbek,5,4,5,2018-08-20T13:15:31Z,2018-08-20T13:59:13Z,2622s (~43.7 minutes)
106,dialect,opaque,picture,RR,female,32,f,Russian,5,4,5,2018-08-20T13:15:31Z,2018-08-20T13:59:13Z,2622s (~43.7 minutes)
106,dialect,opaque,picture,RR,female,32,f,Spanish,3,4,5,2018-08-20T13:15:31Z,2018-08-20T13:59:13Z,2622s (~43.7 minutes)
106,dialect,opaque,picture,RR,female,32,f,English,5,4,5,2018-08-20T13:15:31Z,2018-08-20T13:59:13Z,2622s (~43.7 minutes)
108,dialect,opaque,picture,RR,female,29,f,English,5,4,5,2018-08-20T13:27:51Z,2018-08-20T13:59:28Z,1897s (~31.62 minutes)
111,dialect,opaque,picture,RR,female,26,f,English,5,1,5,2018-08-20T13:41:06Z,2018-08-20T15:41:34Z,7228s (~2.01 hours)
112,dialect,opaque,picture,RR,female,46,f,Welsh,5,5,5,2018-08-20T13:41:34Z,2018-08-20T14:24:05Z,2551s (~42.52 minutes)
112,dialect,opaque,picture,RR,female,46,f,English,5,5,5,2018-08-20T13:41:34Z,2018-08-20T14:24:05Z,2551s (~42.52 minutes)
112,dialect,opaque,picture,RR,female,46,f,French,4,5,5,2018-08-20T13:41:34Z,2018-08-20T14:24:05Z,2551s (~42.52 minutes)
113,dialect,opaque,picture,RR,female,31,f,English,5,4,5,2018-08-20T13:43:19Z,2018-08-20T14:17:52Z,2073s (~34.55 minutes)
114,dialect,opaque,picture,RR,female,46,f,French,3,4,4,2018-08-20T13:52:27Z,2018-08-20T14:22:16Z,1789s (~29.82 minutes)
114,dialect,opaque,picture,RR,female,46,f,English,5,4,4,2018-08-20T13:52:27Z,2018-08-20T14:22:16Z,1789s (~29.82 minutes)
114,dialect,opaque,picture,RR,female,46,f,Spanish,2,4,4,2018-08-20T13:52:27Z,2018-08-20T14:22:16Z,1789s (~29.82 minutes)
116,dialect,opaque,picture,RR,female,29,m,French,1,3,5,2018-08-20T13:54:27Z,2018-08-20T14:44:54Z,3027s (~50.45 minutes)
116,dialect,opaque,picture,RR,female,29,m,English,5,3,5,2018-08-20T13:54:27Z,2018-08-20T14:44:54Z,3027s (~50.45 minutes)
117,dialect,opaque,picture,RR,female,38,f,English,5,4,4,2018-08-20T13:55:06Z,2018-08-20T14:25:56Z,1850s (~30.83 minutes)
