participant_number,language_variety,orthography_condition,picture_condition,order_condition,speaker_condition,age,gender,language_spoken,language_proficiency_rating,fun_rating,noise_rating,start_timestamp,end_timestamp,total_time
217,standard,opaque,picture,RW,male,44,m,English,5,5,5,2017-06-22T13:09:21Z,2017-06-22T14:21:52Z,4351s (~1.21 hours)
218,standard,opaque,picture,RW,male,23,m,Hindi,4,2,5,2017-06-22T13:14:44Z,2017-06-22T15:36:08Z,8484s (~2.36 hours)
218,standard,opaque,picture,RW,male,23,m,English,4,2,5,2017-06-22T13:14:44Z,2017-06-22T15:36:08Z,8484s (~2.36 hours)
218,standard,opaque,picture,RW,male,23,m,Tamil,2,2,5,2017-06-22T13:14:44Z,2017-06-22T15:36:08Z,8484s (~2.36 hours)
218,standard,opaque,picture,RW,male,23,m,Malayalam,4,2,5,2017-06-22T13:14:44Z,2017-06-22T15:36:08Z,8484s (~2.36 hours)
219,standard,opaque,picture,RW,male,33,m,English,4,4,4,2017-06-22T14:06:02Z,2017-06-22T15:34:45Z,5323s (~1.48 hours)
219,standard,opaque,picture,RW,male,33,m,Hindi,4,4,4,2017-06-22T14:06:02Z,2017-06-22T15:34:45Z,5323s (~1.48 hours)
220,standard,opaque,picture,RW,male,42,m,English,5,3,4,2017-06-22T15:25:20Z,2017-06-22T16:18:01Z,3161s (~52.68 minutes)
222,dialect,opaque,picture,WR,male,51,f,English,5,1,5,2017-06-22T22:01:06Z,2017-06-22T22:49:03Z,2877s (~47.95 minutes)
223,dialect,opaque,picture,WR,male,49,f,English,5,5,5,2017-06-22T22:01:32Z,2017-06-22T23:11:12Z,4180s (~1.16 hours)
224,dialect,opaque,picture,WR,male,26,m,English,5,4,5,2017-06-22T22:21:02Z,2017-06-22T23:58:45Z,5863s (~1.63 hours)
225,dialect,opaque,picture,WR,male,33,m,English,5,5,5,2017-06-22T23:10:15Z,2017-06-23T00:34:08Z,5033s (~1.4 hours)
227,dialect,opaque,picture,WR,male,28,m,English,5,3,5,2017-06-23T00:49:19Z,2017-06-23T01:55:23Z,3964s (~1.1 hours)
228,dialect,opaque,picture,WR,male,20,f,German,3,4,5,2017-06-23T01:50:50Z,2017-06-23T03:04:00Z,4390s (~1.22 hours)
228,dialect,opaque,picture,WR,male,20,f,English,5,4,5,2017-06-23T01:50:50Z,2017-06-23T03:04:00Z,4390s (~1.22 hours)
229,dialect,opaque,picture,WR,male,68,f,English,5,5,5,2017-06-23T02:23:09Z,2017-06-23T03:45:06Z,4917s (~1.37 hours)
232,standard,opaque,picture,WR,male,29,m,Hindi,5,4,5,2017-06-23T10:04:19Z,2017-06-23T13:27:12Z,12173s (~3.38 hours)
232,standard,opaque,picture,WR,male,29,m,English,4,4,5,2017-06-23T10:04:19Z,2017-06-23T13:27:12Z,12173s (~3.38 hours)
234,standard,opaque,picture,WR,male,26,m,English,5,4,5,2017-06-23T10:26:26Z,2017-06-23T10:54:58Z,1712s (~28.53 minutes)
235,standard,opaque,picture,WR,male,41,f,English,5,5,5,2017-06-23T11:07:46Z,2017-06-23T11:56:12Z,2906s (~48.43 minutes)
