"","session_number","progress","completion_code","alphabet_key","language_condition","order_condition","picture_condition","speaker_condition","orthography_condition","start_timestamp","end_timestamp","age","gender","english","fun","noise"
"142",142,"END","00142HJXLz","lumOksaidEbfn","standard","WR",0,"female","transparent","2017-04-28 00:23:39","2017-04-28 01:48:49",43,"f",5,4,4
"143",143,"END","00143FcwNd","mEskfualbOdni","dialect","WR",0,"female","transparent","2017-04-28 01:07:14","2017-04-28 02:10:58",51,"m",5,5,5
"144",144,"EXPOSURE1","","lbsEufnaikmdO","standard","RW",1,"male","transparent","2017-04-28 01:27:59","0000-00-00 00:00:00",51,"m",5,0,0
"145",145,"START","","ldnfaEOiubmsk","dialect","RW",1,"male","transparent","2017-04-28 17:36:47","0000-00-00 00:00:00",0,"",0,0,0
"146",146,"W_TR1","","niEaldOsfmbku","dialect","RW",0,"male","transparent","2017-05-01 13:02:48","0000-00-00 00:00:00",999,"o",1,0,0
"147",147,"END","00147mDLqO","lfkdabiEusnOm","dialect","RW",0,"male","transparent","2017-05-01 13:24:05","2017-05-01 14:57:29",48,"f",5,4,5
"148",148,"END","00148wBDqo","lfamuibEksdOn","dialect","RW",0,"male","transparent","2017-05-01 13:50:45","2017-05-01 14:49:33",39,"f",5,4,5
"149",149,"SCRIPT","","knsiafmbuEOdl","dialect","RW",0,"male","transparent","2017-05-01 14:00:52","0000-00-00 00:00:00",24,"m",5,0,0
"150",150,"EXPOSURE1","","ldOimsubkaEnf","dialect","RW",0,"male","transparent","2017-05-01 14:18:29","0000-00-00 00:00:00",42,"m",5,0,0
"151",151,"END","00151NICET","nuambilfEdkOs","dialect","RW",0,"male","transparent","2017-05-01 14:42:52","2017-05-01 15:46:12",29,"f",5,4,5
"152",152,"END","00152asqup","snEubkdaOmfli","dialect","RW",0,"male","transparent","2017-05-01 15:54:16","2017-05-01 16:55:12",54,"f",5,5,5
"153",153,"END","00153oXvpU","kuaOisblfdnmE","dialect","RW",0,"male","transparent","2017-05-01 16:06:59","2017-05-01 17:12:11",42,"f",5,4,5
"154",154,"R_TR1","","dOkmnisbafluE","dialect","RW",0,"male","transparent","2017-05-01 16:13:57","0000-00-00 00:00:00",45,"m",5,0,0
"155",155,"END","00155XHiBv","EsinkubldmaOf","dialect","RW",0,"male","transparent","2017-05-01 16:27:26","2017-05-01 17:14:59",27,"m",5,5,5
"156",156,"START","","infOublsdaEkm","standard","WR",1,"female","transparent","2017-05-01 22:16:47","0000-00-00 00:00:00",0,"",0,0,0
"157",157,"END","00157kfrjP","mEbisndualfkO","standard","WR",1,"female","transparent","2017-05-02 17:02:51","2017-05-02 18:12:24",36,"m",5,5,4
"158",158,"END","00158rlFqH","lkOEnabfiudsm","standard","WR",1,"female","transparent","2017-05-02 17:21:20","2017-05-02 18:07:31",28,"m",5,4,5
"159",159,"END","00159BWjiU","dnEukfsOlmbai","standard","WR",1,"female","transparent","2017-05-02 18:59:09","2017-05-02 20:00:28",26,"m",5,3,5
"160",160,"END","00160dChpn","nfOsEadmbiulk","standard","WR",1,"female","transparent","2017-05-02 20:53:14","2017-05-02 21:39:25",25,"m",5,4,3
"161",161,"R_TR1","","abukEdmflsinO","standard","RW",0,"male","transparent","2017-05-03 14:29:53","0000-00-00 00:00:00",38,"m",5,0,0
"162",162,"END","00162GhmcA","bidOalknfsuEm","standard","RW",0,"male","transparent","2017-05-03 14:32:03","2017-05-03 15:21:04",63,"f",5,5,5
"163",163,"END","00163taHSY","dukEiOnfsbmla","standard","RW",0,"male","transparent","2017-05-03 15:56:34","2017-05-03 16:47:18",38,"m",5,3,4
"164",164,"END","00164Nqarb","EmnbadilfsukO","standard","RW",0,"male","transparent","2017-05-03 16:02:58","2017-05-03 16:51:25",30,"m",5,3,5
"165",165,"END","00165wkzcP","EuafbilnsmkdO","standard","RW",0,"male","transparent","2017-05-03 16:48:23","2017-05-03 18:30:03",40,"m",5,5,5
"166",166,"END","00166mtSdU","uOdEnblksmfia","standard","RW",1,"female","transparent","2017-05-04 14:37:28","2017-05-04 15:29:13",29,"f",5,4,5
"167",167,"END","00167SIjUi","mabunikfdlOEs","standard","RW",1,"female","transparent","2017-05-04 15:21:13","2017-05-04 16:40:31",28,"m",5,4,5
"168",168,"END","00168pERrx","unfidakEmlOsb","standard","RW",1,"female","transparent","2017-05-04 17:24:04","2017-05-04 18:38:54",40,"m",5,5,5
"169",169,"END","00169RxZcP","saidnkuOfmbEl","dialect","WR",0,"male","transparent","2017-05-08 16:49:23","2017-05-08 18:02:48",33,"m",5,5,5
"170",170,"END","00170vznOY","mkEnsOblaiudf","dialect","WR",0,"male","transparent","2017-05-08 17:03:32","2017-05-08 17:55:28",29,"m",5,4,5
"171",171,"INSTR_SCRIPT","","kfEbmluOnsaid","dialect","WR",0,"male","transparent","2017-05-08 19:08:04","0000-00-00 00:00:00",33,"m",3,0,0
"172",172,"R_TR1","","mbdOisaknlfuE","dialect","WR",0,"male","transparent","2017-05-08 22:00:16","0000-00-00 00:00:00",37,"m",5,0,0
"173",173,"DEMOGRAPHICS","","msfOEandlbuki","dialect","WR",1,"female","transparent","2017-05-09 00:11:58","0000-00-00 00:00:00",0,"",0,0,0
